smiles,Fu_final,lgFu,Fu_train_test
C#CC[C@H](n1cccc(c1=O)NC(=O)c1noc(c1)C)C(=N[C@@H](C[C@@H]1CCN=C1O)/C=C/C(=O)OC1CCCC1)O,0.93,-0.031517051,train
N#Cc1ccc(cc1)c1cc(nc(=N)[nH]1)N1CCNCC1,0.93,-0.031517051,train
CN1C(=O)OC(C)(C)C1=O,0.925833334,-0.033467187,train
CN(C)C1C(=O)N(C2C=CC=CC=2)N(C)C=1C,0.924999999,-0.033858268,train
C/N=C(C[N+]([O-])=O)/NCCSCC1=CC=C(CN(C)C)O1,0.924999997,-0.033858269,train
CCCCSc1cc(I)cc(c1O)CNCCCN(C)C,0.924,-0.034328029,train
CC1(N=C(NC1=O)C1=NC=CC=C1C(O)=O)C(C)C,0.922520497,-0.035023976,train
NC1CCC(CN)OC1OC1C(O)C(OC2OC(CO)C(O)C(N)C2O)C(CC1N)NC(=O)C(O)CCN,0.92000001,-0.036212168,train
NC1C=CC(=CC=1)S(=O)(=O)NC(N)=N,0.92000001,-0.036212168,train
NCCCCCC(=O)O,0.920000005,-0.03621217,train
CC1C2C(C(C)O)C(=O)N2C(C([O-])=O)=C1SC1CN2C=NC=[N+]2C1,0.920000005,-0.03621217,train
CC(=CC=CC(C)C(O)=O)C1CNC(C1CC(O)=O)C(O)=O,0.92,-0.036212173,train
CC[C@H](n1cccc(c1=O)NC(=O)c1noc(c1)C)C(=N[C@@H](C[C@@H]1CCN=C1O)/C=C/C(=O)OCc1ccccc1)O,0.92,-0.036212173,train
CCN=c1nc(C(=O)N)c2c([nH]1)CCN(C2)C(=O)CCc1ccc(cc1)OC(F)(F)F,0.917,-0.037630664,train
CCC(C(N)=O)N1CCCC1=O,0.916666665,-0.037788562,test
CN=C(OCC[C@H]1C[C@@H]1c1cncc(c1)OC[C@@H]1CCN1)O,0.916,-0.038104526,train
CCC(O[C@@H]1C=C(C[C@@H]([C@H]1N=C(O)C)NC(=N)N)C(=O)O)CC,0.914,-0.039053804,train
O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21,0.91,-0.040958608,train
O=C(C1CC21CCN(CC2)C1CCOCC1)N1CCN(CC1)C1CCC1,0.91,-0.040958608,train
COc1ccc(cc1)N(C1CCN(CC1)[C@@H](CCN=C(c1c(C)ncnc1C)O)C)Cc1cscc1,0.91,-0.040958608,train
NC1C=CN(C2OC(CO)C(O)C2O)C(=O)N=1,0.908625338,-0.041615157,train
CN(C1CCN(CC1)C(=O)Cn1c2cc(ccc2c(c1c1cnn(c1)C)C1CCCCC1)c1[nH]oc(=O)n1)C,0.906,-0.042871802,train
COC(C)(C)C,0.905,-0.043351421,train
NC(=O)c1cnccn1,0.9,-0.045757491,train
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,0.9,-0.045757491,train
Cc1cc(=O)n(-c2ccccc2)n1C,0.9,-0.045757491,train
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,0.9,-0.045757491,train
CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1,0.9,-0.045757491,test
CN1C2CC(CC1C1OC12)OC(=O)C(CO)C1C=CC=CC=1,0.9,-0.045757491,train
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,0.9,-0.045757491,train
CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N,0.9,-0.045757491,test
OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,0.9,-0.045757491,test
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@H]3C[C@@H](C(=O)N4CC[C@H](NC(=O)CNC(=N)N)C4)N(C)C3)[C@H](C)[C@H]12,0.9,-0.045757491,test
CCCC[N+]12CCC(CC1)[C@H](C2)OC(=O)[C@](c1ccccc1)(N1CCCCC1)C,0.9,-0.045757491,train
Nc1nc(=O)c2ncn(CCC(CO)CO)c2[nH]1,0.9,-0.045757491,test
S=P(N1CC1)(N1CC1)N1CC1,0.899999995,-0.045757493,train
NCCc1ccc(O)c(O)c1,0.89999999,-0.045757495,test
CCC1(CC)C(=O)NC(=O)NC1=O,0.89999999,-0.045757495,test
C/N=C(\NC)NCc1ccccc1,0.89999999,-0.045757495,train
CCCCNC(=N)NC(=N)N,0.89999999,-0.045757495,train
CN1C(C)=C(C(C)C)C(=O)N1C1C=CC=CC=1,0.89999999,-0.045757495,train
CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1,0.89999999,-0.045757495,train
CN1CC=NC1=S,0.89892978,-0.046274232,train
CON=C(C1=CSC(N)=N1)C(=O)NC1C2SCC(C[N+]3=CC=CC4CCCC3=4)=C(C([O-])=O)N2C1=O,0.89833333,-0.046562487,train
CC(=CC(=O)NC)OP(=O)(OC)OC,0.898,-0.046723663,train
NC1CC(NC(=O)C(O)CCN)C(OC2OC(CO)C(O)C(N)C2O)C(O)C1OC1OC(CN)C(O)C(O)C1O,0.895000005,-0.048176962,train
CN(C)C(=O)C1CC(CN1)SC1C(C)C2C(C(C)O)C(=O)N2C=1C(O)=O,0.893333337,-0.048986459,train
CN1CSC(=S)N(C)C1,0.890904495,-0.05016885,train
N=C1CC(=CNC1=O)C1C=CN=CC=1,0.889999998,-0.050609995,train
CC(C)(C(=O)c1cccnc1)c1cccnc1,0.8882,-0.051489231,test
CN1CCCC1=O,0.888,-0.051587034,train
CNC(=O)OC1C=C(C=CC=1)N=CN(C)C,0.885885665,-0.052622326,train
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,0.885,-0.053056729,test
CC(=O)Nc1ccc(O)cc1,0.88,-0.055517328,train
COCCc1ccc(OCC(O)CNC(C)C)cc1,0.88,-0.055517328,train
CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,0.88,-0.055517328,train
