smiles,pKa_Acidic,pKaAcidic_train_test
N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)[O-],0.27,train
NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,0.3,train
N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,0.3,train
N[C@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,0.3,train
N[C@@H](Cc1cc([125I])c(Oc2ccc(O)c([125I])c2)c([125I])c1)C(=O)O,0.3,train
N[C@@H](Cc1cc([131I])c(Oc2ccc(O)c([131I])c2)c([131I])c1)C(=O)O,0.3,train
N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-],0.3,train
Cc1cnc(C(=O)O)c[n+]1[O-],0.31,train
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,0.33,train
Cc1ncc(COP(=O)(O)O)c(CN(CCN(CC(=O)O)Cc2c(COP(=O)(O)O)cnc(C)c2O)CC(=O)O)c1O,0.33,train
N[C@@H](Cc1cc(Br)c(O)c(Br)c1)C(=O)O,0.36,train
C[C@@H](O[C@H]1OCCN(Cc2nc(=O)n(P(=O)(O)O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,0.36,train
O=P1(O)OP(=O)(O)OP(=O)(O)O1,0.4,train
O=P1([O-])OP(=O)([O-])OP(=O)([O-])O1,0.4,train
Cc1ncccc1NC(=O)c1ccc2c(c1)CC[C@@H]1C[C@@](OP(=O)(O)O)(C(F)(F)F)CC[C@@]21Cc1ccccc1,0.44,test
Cc1c(CN(C)C(=O)/C=C/c2cnc3c(c2)CCC(=O)N3COP(=O)(O)O)oc2ccccc12,0.45,train
O=C(O)CN(CCN(CC(=O)O)C[C@H](COP(=O)(O)OC1CCC(c2ccccc2)(c2ccccc2)CC1)N(CC(=O)O)CC(=O)O)CC(=O)O,0.46,train
N[C@@H](Cc1cc(I)c(O)c(I)c1)C(=O)O,0.48,test
N[C@@H](Cc1cc([131I])c(O)c([131I])c1)C(=O)O,0.48,train
N[C@@H](Cc1cc([125I])c(O)c([125I])c1)C(=O)O,0.48,train
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,0.54,train
O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CCN(CC(=O)[O-])CC(=O)[O-].[Zn+2],0.54,train
O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CCN(CC(=O)[O-])CC(=O)[O-],0.54,train
N#Cc1cc(NC(=O)C(=O)O)c(Cl)c(NC(=O)C(=O)O)c1,0.56,train
N#Cc1cc(NC(=O)C(=O)O)c(Cl)c(NC(=O)C(=O)O)c1.NC(CO)(CO)CO.NC(CO)(CO)CO,0.56,train
O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4ccc(=O)[nH]c4=O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,0.59,train
Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4ccc(=O)[nH]c4=O)[C@H](O)[C@@H]3O)O2)c(=O)n1,0.59,train
O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4ccc(=O)[nH]c4=O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,0.59,train
Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4ccc(=O)[nH]c4=O)[C@H](O)[C@@H]3O)O2)c(=O)n1,0.59,train
O=P(O)(O)C(Cl)(Cl)P(=O)(O)O,0.62,train
O=P([O-])(O)C(Cl)(Cl)P(=O)([O-])O,0.62,train
O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,0.66,test
CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O,0.66,train
CN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O,0.66,train
CCCCCN(C)CCC(O)(P(=O)([O-])O)P(=O)(O)O,0.66,train
O=P([O-])(O)C(O)(Cn1ccnc1)P(=O)([O-])O,0.66,train
NCCC(O)(P(=O)(O)O)P(=O)(O)O,0.67,train
NCCC(O)(P(=O)([O-])O)P(=O)([O-])O,0.67,train
O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O,0.68,train
O=P(O)(O)C(O)(Cc1cnc2ccccn12)P(=O)(O)O,0.68,train
O=P([O-])(O)C(O)(Cc1cccnc1)P(=O)(O)O,0.68,train
NCCCC(O)(P(=O)([O-])O)P(=O)(O)O,0.69,test
NCCCC(O)(P(=O)(O)O)P(=O)(O)O,0.69,train
NCCCCCC(O)(P(=O)(O)O)P(=O)(O)O,0.69,train
CC(O)(P(=O)(O)O)P(=O)(O)O,0.7,train
CC(O)(P(=O)([O-])O)P(=O)([O-])O,0.7,train
CC(=C(CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,0.71,train
CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,0.71,train
Nc1nc(=O)c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@@H]3O)c2[nH]1,0.71,train
C=Cc1cc(C(=O)Nc2ccc(C(=N)N)cc2)c(-c2ccc(C(=O)NCC3CC3)nc2C(=O)O)cc1OC,0.72,train
Cn1c(C(=O)O)c(I)c(=O)c(I)c1C(=O)O,0.74,test
C/N=C(/S)[C@]1(c2cccnc2)CCCC[S@@+]1[O-],0.74,train
O=P(O)(O)C(O)P(=O)(O)O,0.75,train
C[C@H](Nc1cc(Cl)nc2c1cnn2[C@@H]1O[C@H](COP(=O)(O)CP(=O)(O)O)[C@@H](O)[C@H]1O)c1ccccc1F,0.78,train
O=C(O)c1cc(O)c2c3nc4ccccc4oc-3cc(=O)c2n1,0.79,train
Nc1ccn([C@@H]2CO[C@H](COP(=O)(O)O)O2)c(=O)n1,0.79,train
CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)(O)O[P@](=O)(O)C(Cl)(Cl)P(=O)(O)O)[C@@H](O)[C@H]1O,0.79,train
CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])C(Cl)(Cl)P(=O)([O-])[O-])[C@@H](O)[C@H]1O,0.79,train
O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,0.8,train
CCOc1ccc(-c2nc(-c3cccc(C(=O)O)n3)cs2)cc1OCC,0.8,train
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS,0.82,train
O=P(O)(O)OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,0.87,test
Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1,0.87,train
Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@@H]1F,0.87,train
CC(O)(P(=O)(O)O)P(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@@H](O)[C@@H]1O,0.87,train
Nc1nc(O[C@H](c2ccc(Cl)cc2-c2ccccc2)C(F)(F)F)cc(N2CCC3(CC2)CN[C@H](C(=O)O)C3)n1,0.87,train
CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,0.89,test
O=P(O)(O)OP(=O)(O)OP(=O)(O)O,0.89,train
O=P(O)(O)OC[C@H]1OC(O)(COP(=O)(O)O)[C@@H](O)[C@@H]1O,0.89,train
O=P(O)(O)OC[C@H]1O[C@@](O)(COP(=O)(O)O)[C@@H](O)[C@@H]1O,0.89,train
